artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Lorne Balfe,3whvqzhx8GULqaI0oIGaWS,On The Move,0.354,0.2,141827,0.564,0.88,5,0.136,-10.966,1,0.048,123.948,3,0.0303,9
U2,6W2hxqGi3WATiQHz52Dc7j,Summer Of Love - Robin Schulz Remix,0.00145,0.664,215027,0.675,9.55e-05,4,0.245,-7.706,0,0.0712,123.996,4,0.654,45
The Greatest Bits,6vNc5wjmjeoYiK5yBHDtHc,Die Anywhere Else,0.0307,0.57,151963,0.62,0.944,8,0.145,-13.566,1,0.0334,168.97799999999995,4,0.58,33
Roots,2V5nTaj8zLxe2LhCwaJDjk,Sicc,0.329,0.821,120048,0.67,0.00035800000000000003,8,0.128,-6.775,1,0.21,164.092,4,0.5920000000000001,5
EMBI,0goz5qANBoL4ZOCW0hP31q,Highway,0.0838,0.679,199593,0.442,1.4e-05,0,0.0819,-11.441,1,0.105,120.925,4,0.166,2
Iration,2apcvV1wmzHJYRKiQuMk3K,Press Play,0.00307,0.685,251213,0.591,1.6899999999999994e-05,0,0.389,-6.167999999999998,1,0.0353,90.993,4,0.809,45
Shun Yu,6ST582MZ7QD1Eb7x9Mea4b,"Etude No. 10 in B Minor, Op. 25 (Frédéric Chopin)",0.989,0.374,286836,0.198,0.8440000000000001,11,0.0947,-17.948,1,0.0616,172.41099999999997,4,0.0802,20
Moby,2rxFIBjqyKILAvqaPN0SNJ,The Tired And The Hurt - Cold Unbroken Seas Remix,0.405,0.304,282907,0.669,0.556,7,0.099,-7.2029999999999985,1,0.0313,77.612,4,0.131,16
Jason Aldean,6kEKWnjcoD5RxxvzhbaWBh,Gettin' Warmed Up,0.0137,0.64,175253,0.946,0.0,9,0.0556,-4.03,0,0.0579,120.011,4,0.635,56
Sleeping Music Experience,50CQ9rE3Du9zg0T5BDE4ov,The Rain Oasis,0.8029999999999999,0.098,144000,0.0845,0.845,7,0.368,-26.28,1,0.0329,76.204,4,0.0609,14
Daniel Miller,0lT2SCHcjJMicRYfETOABi,Cyborg Nation,0.00455,0.794,156212,0.889,0.86,11,0.278,-5.074,0,0.0883,125.978,4,0.61,0
CHVSE,6q4SiuAOOdsxQlJWhpPTw8,Dead,0.0375,0.8590000000000001,166086,0.659,0.0,1,0.111,-9.589,1,0.398,89.977,4,0.746,24
Johann Sebastian Bach,7nhIgq0abPlNKbuRQjbxuB,"Dazu ist erschienen der Sohn Gottes, BWV 40 for the Second Day of Christmas: VIII. Choral (Coro). Jesu, nimm dich deiner Glieder",0.988,0.289,79080,0.161,0.721,4,0.262,-16.672,0,0.0408,79.961,4,0.301,1
3zer Eban,5WqtDYoBFzL9LaD3vsTqit,Existed,0.583,0.635,291004,0.458,0.0,5,0.0714,-13.961,1,0.0291,100.044,4,0.715,22
Wolfgang Amadeus Mozart,5mvuepo0s7QA05mWnAAZhL,"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",0.908,0.397,455573,0.208,0.8959999999999999,7,0.106,-18.736,0,0.0357,108.175,4,0.18,6
Revolution 5000,6IK7zr8rwr8zWjPsycifZF,Missed Calls All Day,0.7809999999999999,0.894,199262,0.276,0.0,8,0.146,-15.376,1,0.309,136.054,4,0.614,5
Shoshana Bean,7z9jLczviUC3uZtjezNQDI,Stay,0.8240000000000001,0.28600000000000003,266347,0.349,0.0,9,0.13,-8.129,0,0.0269,96.105,4,0.128,20
Manal,3TH62AW0PIXB4zB5nT38Oq,Taj,0.0928,0.564,179000,0.81,0.00555,9,0.21600000000000005,-5.69,1,0.379,81.881,5,0.81,36
Vedala Hemachandra,0dtqdeulP2OhrLCFan9DeW,Vanavaasam,0.0189,0.51,286833,0.413,1.07e-05,1,0.145,-11.06,1,0.0318,95.032,4,0.136,1
